SYMBOL,max_slippage
EUR/USD,0.0005
EUR/AUD,0.0008
USD/CAD,0.0007
USD/CHF,0.00035
EUR/CAD,0.00085
CAD/JPY,0.1
EUR/JPY,0.11
GBP/JPY,0.12
USD/SEK,0.005
USD/NOK,0.0045
AUD/USD,0.00035
CHF/JPY,0.1
GBP/CHF,0.00045
NZD/USD,0.00035
AUD/NZD,0.0003
EUR/CHF,0.00045
GBP/USD,0.0005
USD/JPY,0.1
AUD/JPY,0.07
EUR/GBP,0.0003
EUR/NOK,0.004
EUR/SEK,0.004
AUD/CHF,0.00035
CAD/CHF,0.00035
GBP/AUD,0.0007
GBP/CAD,0.00065
GBP/NZD,0.00085
NZD/CAD,0.00035
NZD/CHF,0.00035
NZD/JPY,0.06
EUR/NZD,0.0007
AUD/CAD,0.00035
GBP/SGD,0.0004
NZD/SGD,0.0003
SGD/JPY,0.06
EUR/DKK,0.00025
EUR/HKD,0.0035
EUR/PLN,0.0015
EUR/TRY,0.015
HKD/JPY,1.05
NOK/JPY,0.025
NOK/SEK,0.0006
USD/DKK,0.003
USD/HKD,0.0003
USD/MXN,0.0125
USD/PLN,0.00225
USD/SGD,0.0004
USD/TRY,0.0045
USD/CNH,0.013
XAU/USD,1
XAG/USD,0.03
XBR/USD,0.15
XTI/USD,0.15
XNG/USD,0.02
EUR/ZAR,0.01
EUR/MXN,0.011
USD/HUF,0.25
EUR/HUF,0.12
USD/CZK,0.13
EUR/CZK,0.055
USD/ZAR,0.01
